Show,Season,Episode,Title,Year,Total votes,Average rating,z score
TBBT,3,15,The Large Hadron Collision,2010,"3,307",8.00,-0.16
TBBT,3,16,The Excelsior Acquisition,2010,"3,422",8.30,0.31
TBBT,3,17,The Precious Fragmentation,2010,"3,627",8.40,0.47
TBBT,3,18,The Pants Alternative,2010,"3,552",8.40,0.47
TBBT,3,19,The Wheaton Recurrence,2010,"3,323",7.90,-0.31
TBBT,3,20,The Spaghetti Catalyst,2010,"3,320",8.10,0.00
TBBT,3,21,The Plimpton Stimulation,2010,"3,566",8.10,0.00
TBBT,3,22,The Staircase Implementation,2010,"4,645",9.00,1.40
TBBT,3,23,The Lunar Excitation,2010,"3,625",8.60,0.78
TBBT,4,1,The Robotic Manipulation,2010,"4,068",8.70,0.93
TBBT,4,2,The Cruciferous Vegetable Amplification,2010,"3,632",8.40,0.47
TBBT,4,3,The Zazzy Substitution,2010,"3,418",7.90,-0.31
TBBT,4,4,The Hot Troll Deviation,2010,"3,419",8.00,-0.16
TBBT,4,5,The Desperation Emanation,2010,"3,265",7.70,-0.62
TBBT,4,6,The Irish Pub Formulation,2010,"3,326",8.00,-0.16
TBBT,4,7,The Apology Insufficiency,2010,"3,369",8.00,-0.16
TBBT,4,8,The 21-Second Excitation,2010,"3,365",8.10,0.00
TBBT,4,9,The Boyfriend Complexity,2010,"3,533",8.50,0.62
TBBT,4,10,The Alien Parasite Hypothesis,2010,"3,254",7.70,-0.62
TBBT,4,11,The Justice League Recombination,2010,"3,767",8.70,0.93
TBBT,4,12,The Bus Pants Utilization,2011,"3,241",7.60,-0.78
TBBT,4,13,The Love Car Displacement,2011,"3,487",8.20,0.16
TBBT,4,14,The Thespian Catalyst,2011,"3,302",7.80,-0.47
TBBT,4,15,The Benefactor Factor,2011,"3,250",7.70,-0.62
TBBT,4,16,The Cohabitation Formulation,2011,"3,161",7.90,-0.31
TBBT,4,17,The Toast Derivation,2011,"3,196",7.90,-0.31
TBBT,4,18,The Prestidigitation Approximation,2011,"3,353",8.10,0.00
TBBT,4,19,The Zarnecki Incursion,2011,"3,257",8.10,0.00
TBBT,4,20,The Herb Garden Germination,2011,"3,239",8.20,0.16
TBBT,4,21,The Agreement Dissection,2011,"3,324",8.20,0.16
TBBT,4,22,The Wildebeest Implementation,2011,"3,141",7.80,-0.47
TBBT,4,23,The Engagement Reaction,2011,"3,194",8.10,0.00
TBBT,4,24,The Roommate Transmogrification,2011,"3,406",8.50,0.62
TBBT,5,1,The Skank Reflex Analysis,2011,"3,841",8.00,-0.16
TBBT,5,2,The Infestation Hypothesis,2011,"3,379",8.00,-0.16
TBBT,5,3,The Pulled Groin Extrapolation,2011,"3,232",7.70,-0.62
TBBT,5,4,The Wiggly Finger Catalyst,2011,"3,292",7.90,-0.31
TBBT,5,5,The Russian Rocket Reaction,2011,"3,262",8.00,-0.16
TBBT,5,6,The Rhinitis Revelation,2011,"3,195",7.60,-0.78
TBBT,5,7,The Good Guy Fluctuation,2011,"3,926",8.60,0.78
TBBT,5,8,The Isolation Permutation,2011,"3,185",7.60,-0.78
TBBT,5,9,The Ornithophobia Diffusion,2011,"3,348",8.10,0.00
TBBT,5,10,The Flaming Spittoon Acquisition,2011,"3,237",7.90,-0.31
TBBT,5,11,The Speckerman Recurrence,2011,"3,184",7.30,-1.24
TBBT,5,12,The Shiny Trinket Maneuver,2012,"3,197",7.70,-0.62
TBBT,5,13,The Recombination Hypothesis,2012,"3,380",8.20,0.16
TBBT,5,14,The Beta Test Initiation,2012,"3,405",8.20,0.16
TBBT,5,15,The Friendship Contraction,2012,"3,084",7.70,-0.62
TBBT,5,16,The Vacation Solution,2012,"3,063",7.60,-0.78
TBBT,5,17,The Rothman Disintegration,2012,"3,140",7.80,-0.47
TBBT,5,18,The Werewolf Transformation,2012,"3,331",8.20,0.16
TBBT,5,19,The Weekend Vortex,2012,"3,172",8.10,0.00
TBBT,5,20,The Transporter Malfunction,2012,"3,297",8.10,0.00
TBBT,5,21,The Hawking Excitation,2012,"3,684",8.60,0.78
TBBT,5,22,The Stag Convergence,2012,"3,140",7.70,-0.62
TBBT,5,23,The Launch Acceleration,2012,"3,100",8.10,0.00
TBBT,5,24,The Countdown Reflection,2012,"3,535",8.50,0.62
TBBT,6,1,The Date Night Variable,2012,"4,031",7.60,-0.78
TBBT,6,2,The Decoupling Fluctuation,2012,"3,220",7.60,-0.78
TBBT,6,3,The Higgs Boson Observation,2012,"3,240",8.00,-0.16
TBBT,6,4,The Re-Entry Minimization,2012,"3,451",8.20,0.16
TBBT,6,5,The Holographic Excitation,2012,"3,207",8.00,-0.16
TBBT,6,6,The Extract Obliteration,2012,"3,087",7.80,-0.47
TBBT,6,7,The Habitation Configuration,2012,"3,054",7.70,-0.62
TBBT,6,8,The 43 Peculiarity,2012,"3,568",8.40,0.47
TBBT,6,9,The Parking Spot Escalation,2012,"3,456",8.30,0.31
TBBT,6,10,The Fish Guts Displacement,2012,"3,245",8.00,-0.16
TBBT,6,11,The Santa Simulation,2012,"3,128",7.80,-0.47
TBBT,6,12,The Egg Salad Equivalency,2013,"3,525",8.40,0.47
TBBT,6,13,The Bakersfield Expedition,2013,"3,528",8.40,0.47
TBBT,6,14,The Cooper/Kripke Inversion,2013,"3,094",7.80,-0.47
TBBT,6,15,The Spoiler Alert Segmentation,2013,"3,216",8.20,0.16
TBBT,6,16,The Tangible Affection Proof,2013,"3,130",7.90,-0.31
TBBT,6,17,The Monster Isolation,2013,"2,981",7.60,-0.78
TBBT,6,18,The Contractual Obligation Implementation,2013,"3,065",7.70,-0.62
TBBT,6,19,The Closet Reconfiguration,2013,"3,226",8.10,0.00
TBBT,6,20,The Tenure Turbulence,2013,"3,130",8.00,-0.16
TBBT,6,21,The Closure Alternative,2013,"3,086",8.00,-0.16
TBBT,6,22,The Proton Resurgence,2013,"3,184",7.90,-0.31
TBBT,6,23,The Love Spell Potential,2013,"3,239",8.10,0.00
TBBT,6,24,The Bon Voyage Reaction,2013,"3,056",7.70,-0.62
TBBT,7,1,The Hofstadter Insufficiency,2013,"3,449",7.80,-0.47
TBBT,7,2,The Deception Verification,2013,"3,404",8.00,-0.16
TBBT,7,3,The Scavenger Vortex,2013,"4,092",8.70,0.93
TBBT,7,4,The Raiders Minimization,2013,"3,125",7.90,-0.31
TBBT,7,5,The Workplace Proximity,2013,"2,980",7.60,-0.78
TBBT,7,6,The Romance Resonance,2013,"3,560",8.40,0.47
TBBT,7,7,The Proton Displacement,2013,"3,036",7.80,-0.47
TBBT,7,8,The Itchy Brain Simulation,2013,"3,008",7.60,-0.78
TBBT,7,9,The Thanksgiving Decoupling,2013,"4,171",8.80,1.09
TBBT,7,10,The Discovery Dissipation,2013,"2,823",7.60,-0.78
TBBT,7,11,The Cooper Extraction,2013,"3,156",8.10,0.00
TBBT,7,12,The Hesitation Ramification,2014,"2,885",7.50,-0.93
TBBT,7,13,The Occupation Recalibration,2014,"2,859",7.50,-0.93
TBBT,7,14,The Convention Conundrum,2014,"3,094",8.00,-0.16
TBBT,7,15,The Locomotive Manipulation,2014,"3,280",8.20,0.16
TBBT,7,16,The Table Polarization,2014,"2,759",7.60,-0.78
TBBT,7,17,The Friendship Turbulence,2014,"2,730",7.40,-1.09
TBBT,7,18,The Mommy Observation,2014,"2,802",7.40,-1.09
TBBT,7,19,The Indecision Amalgamation,2014,"3,033",8.10,0.00
TBBT,7,20,The Relationship Diremption,2014,"2,846",8.00,-0.16
TBBT,7,21,The Anything Can Happen Recurrence,2014,"2,694",7.50,-0.93
TBBT,7,22,The Proton Transmogrification,2014,"2,841",7.70,-0.62
TBBT,7,23,The Gorilla Dissolution,2014,"2,835",7.80,-0.47
TBBT,7,24,The Status Quo Combustion,2014,"2,906",8.00,-0.16
TBBT,8,1,The Locomotion Interruption,2014,"3,401",7.20,-1.40
TBBT,8,2,The Junior Professor Solution,2014,"3,150",7.60,-0.78
TBBT,8,3,The First Pitch Insufficiency,2014,"3,078",7.00,-1.71
TBBT,8,4,The Hook-up Reverberation,2014,"2,899",7.20,-1.40
TBBT,8,5,The Focus Attenuation,2014,"2,981",7.50,-0.93
TBBT,8,6,The Expedition Approximation,2014,"2,842",7.20,-1.40
TBBT,8,7,The Misinterpretation Agitation,2014,"3,126",7.70,-0.62
TBBT,8,8,The Prom Equivalency,2014,"3,115",8.00,-0.16
TBBT,8,9,The Septum Deviation,2014,"2,769",7.50,-0.93
TBBT,8,10,The Champagne Reflection,2014,"2,837",7.00,-1.71
TBBT,8,11,The Clean Room Infiltration,2014,"2,743",7.40,-1.09
TBBT,8,12,The Space Probe Disintegration,2015,"2,646",7.20,-1.40
TBBT,8,13,The Anxiety Optimization,2015,"2,642",7.40,-1.09
TBBT,8,14,The Troll Manifestation,2015,"2,871",8.00,-0.16
TBBT,8,15,The Comic Book Store Regeneration,2015,"2,912",8.00,-0.16
TBBT,8,16,The Intimacy Acceleration,2015,"2,751",7.80,-0.47
TBBT,8,17,The Colonization Application,2015,"2,598",7.50,-0.93
TBBT,8,18,The Leftover Thermalization,2015,"2,569",7.30,-1.24
TBBT,8,19,The Skywalker Incursion,2015,"2,579",7.50,-0.93
TBBT,8,20,The Fortification Implementation,2015,"2,562",7.50,-0.93
TBBT,8,21,The Communication Deterioration,2015,"2,509",7.00,-1.71
TBBT,8,22,The Graduation Transmission,2015,"2,553",7.30,-1.24
TBBT,8,23,The Maternal Combustion,2015,"2,607",7.50,-0.93
TBBT,8,24,The Commitment Determination,2015,"3,020",7.90,-0.31
TBBT,9,1,The Matrimonial Momentum,2015,"3,361",6.80,-2.02
TBBT,9,2,The Separation Oscillation,2015,"2,818",7.30,-1.24
TBBT,9,3,The Bachelor Party Corrosion,2015,"2,871",7.70,-0.62
TBBT,9,4,The 2003 Approximation,2015,"2,697",7.40,-1.09
TBBT,9,5,The Perspiration Implementation,2015,"2,617",7.40,-1.09
TBBT,9,6,The Helium Insufficiency,2015,"2,672",7.20,-1.40
TBBT,9,7,The Spock Resonance,2015,"2,753",7.90,-0.31
TBBT,9,8,The Mystery Date Observation,2015,"2,760",7.90,-0.31
TBBT,9,9,The Platonic Permutation,2015,"2,698",7.80,-0.47
TBBT,9,10,The Earworm Reverberation,2015,"3,115",8.30,0.31
TBBT,9,11,The Opening Night Excitation,2015,"4,737",9.00,1.40
TBBT,9,12,The Sales Call Sublimation,2016,"2,466",7.40,-1.09
TBBT,9,13,The Empathy Optimization,2016,"2,486",7.40,-1.09
TBBT,9,14,The Meemaw Materialization,2016,"2,512",7.50,-0.93
TBBT,9,15,The Valentino Submergence,2016,"2,472",7.50,-0.93
TBBT,9,16,The Positive Negative Reaction,2016,"2,566",7.40,-1.09
TBBT,9,17,The Celebration Experimentation,2016,"2,589",7.50,-0.93
TBBT,9,18,The Application Deterioration,2016,"2,433",7.50,-0.93
TBBT,9,19,The Solder Excursion Diversion,2016,"2,353",7.40,-1.09
TBBT,9,20,The Big Bear Precipitation,2016,"2,313",7.40,-1.09
TBBT,9,21,The Viewing Party Combustion,2016,"2,323",7.40,-1.09
TBBT,9,22,The Fermentation Bifurcation,2016,"2,263",7.40,-1.09
TBBT,9,23,The Line Substitution Solution,2016,"2,272",7.30,-1.24
TBBT,9,24,The Convergence Convergence,2016,"2,594",7.80,-0.47
TBBT,10,1,The Conjugal Conjecture,2016,"3,077",7.70,-0.62
TBBT,10,2,The Military Miniaturization,2016,"2,474",7.30,-1.24
TBBT,10,3,The Dependence Transcendence,2016,"2,365",7.20,-1.40
TBBT,10,4,The Cohabitation Experimentation,2016,"2,617",7.90,-0.31
TBBT,10,5,The Hot Tub Contamination,2016,"2,332",7.40,-1.09
TBBT,10,6,The Fetal Kick Catalyst,2016,"2,373",7.40,-1.09
TBBT,10,7,The Veracity Elasticity,2016,"2,527",8.00,-0.16
TBBT,10,8,The Brain Bowl Incubation,2016,"2,620",8.10,0.00
TBBT,10,9,The Geology Elevation,2016,"2,280",7.40,-1.09
TBBT,10,10,The Property Division Collision,2016,"2,275",7.30,-1.24
TBBT,10,11,The Birthday Synchronicity,2016,"2,336",7.50,-0.93
TBBT,10,12,The Holiday Summation,2017,"2,346",7.30,-1.24
TBBT,10,13,The Romance Recalibration,2017,"2,232",6.90,-1.86
TBBT,10,14,The Emotion Detection Automation,2017,"2,197",7.20,-1.40
TBBT,10,15,The Locomotion Reverberation,2017,"2,169",7.30,-1.24
TBBT,10,16,The Allowance Evaporation,2017,"2,087",7.10,-1.55
TBBT,10,17,The Comic-Con Conundrum,2017,"2,139",7.50,-0.93
TBBT,10,18,The Escape Hatch Identification,2017,"2,089",7.10,-1.55
TBBT,10,19,The Collaboration Fluctuation,2017,"2,127",7.10,-1.55
TBBT,10,20,The Recollection Dissipation,2017,"2,093",7.10,-1.55
TBBT,10,21,The Separation Agitation,2017,"2,125",7.20,-1.40
TBBT,10,22,The Cognition Regeneration,2017,"2,061",6.80,-2.02
TBBT,10,23,The Gyroscopic Collapse,2017,"2,050",7.10,-1.55
TBBT,10,24,The Long Distance Dissonance,2017,"2,971",8.50,0.62
TBBT,11,1,The Proposal Proposal,2017,"2,630",7.50,-0.93
TBBT,11,2,The Retraction Reaction,2017,"2,318",7.20,-1.40
TBBT,11,3,The Relaxation Integration,2017,"2,183",7.00,-1.71
TBBT,11,4,The Explosion Implosion,2017,"2,123",7.10,-1.55
TBBT,11,5,The Collaboration Contamination,2017,"2,139",7.30,-1.24
TBBT,11,6,The Proton Regeneration,2017,"2,113",7.20,-1.40
TBBT,11,7,The Geology Methodology,2017,"2,143",7.40,-1.09
TBBT,11,8,The Tesla Recoil,2017,"2,049",7.10,-1.55
TBBT,11,9,The Bitcoin Entanglement,2017,"2,231",7.70,-0.62
TBBT,11,10,The Confidence Erosion,2017,"2,066",7.30,-1.24
TBBT,11,11,The Celebration Reverberation,2017,"2,005",7.00,-1.71
TBBT,11,12,The Matrimonial Metric,2018,"2,053",7.40,-1.09
TBBT,11,13,The Solo Oscillation,2018,"2,038",7.20,-1.40
TBBT,11,14,The Separation Triangulation,2018,"2,074",7.20,-1.40
TBBT,11,15,The Novelization Correlation,2018,"2,024",7.40,-1.09
TBBT,11,16,The Neonatal Nomenclature,2018,"1,964",7.10,-1.55
TBBT,11,17,The Athenaeum Allocation,2018,"1,979",6.80,-2.02
TBBT,11,18,The Gates Excitation,2018,"2,006",7.10,-1.55
TBBT,11,19,The Tenant Disassociation,2018,"1,962",7.20,-1.40
TBBT,11,20,The Reclusive Potential,2018,"1,961",7.10,-1.55
TBBT,11,21,The Comet Polarization,2018,"1,953",7.40,-1.09
TBBT,11,22,The Monetary Insufficiency,2018,"1,918",7.20,-1.40
TBBT,11,23,The Sibling Realignment,2018,"2,061",7.70,-0.62
TBBT,11,24,The Bow Tie Asymmetry,2018,"3,584",8.90,1.24
TBBT,12,1,The Conjugal Configuration,2018,"2,351",7.20,-1.40
TBBT,12,2,The Wedding Gift Wormhole,2018,"2,234",7.60,-0.78
TBBT,12,3,The Procreation Calculation,2018,"2,127",7.20,-1.40
TBBT,12,4,The Tam Turbulence,2018,"2,054",7.00,-1.71
TBBT,12,5,The Planetarium Collision,2018,"2,045",6.80,-2.02
TBBT,12,6,The Imitation Perturbation,2018,"2,524",8.20,0.16
TBBT,12,7,The Grant Allocation Derivation,2018,"2,028",7.30,-1.24
TBBT,12,8,The Consummation Deviation,2018,"2,068",7.30,-1.24
TBBT,12,9,The Citation Negation,2018,"2,043",7.20,-1.40
TBBT,12,10,The VCR Illumination,2018,"2,095",7.40,-1.09
TBBT,12,11,The Paintball Scattering,2019,"2,005",7.20,-1.40
TBBT,12,12,The Propagation Proposition,2019,"1,961",7.10,-1.55
TBBT,12,13,The Confirmation Polarization,2019,"1,975",7.10,-1.55
TBBT,12,14,The Meteorite Manifestation,2019,"1,967",7.00,-1.71
TBBT,12,15,The Donation Oscillation,2019,"2,029",7.40,-1.09
TBBT,12,16,The D & D Vortex,2019,"2,236",7.90,-0.31
TBBT,12,17,The Conference Valuation,2019,"1,952",7.10,-1.55
TBBT,12,18,The Laureate Accumulation,2019,"1,923",7.10,-1.55
TBBT,12,19,The Inspiration Deprivation,2019,"1,933",6.90,-1.86
TBBT,12,20,The Decision Reverberation,2019,"1,919",7.10,-1.55
TBBT,12,21,The Plagiarism Schism,2019,"1,968",7.20,-1.40
TBBT,12,22,The Maternal Conclusion,2019,"2,445",7.90,-0.31
TBBT,12,23,The Change Constant,2019,"4,411",9.00,1.40
TBBT,12,24,The Stockholm Syndrome,2019,"8,917",9.50,2.17
Parks and Recreation,1,1,Pilot,2009,"3,425",7.00,-1.71
Parks and Recreation,1,2,Canvassing,2009,"2,934",7.00,-1.71
Parks and Recreation,1,3,The Reporter,2009,"2,742",7.10,-1.55
Parks and Recreation,1,4,Boys' Club,2009,"2,666",7.30,-1.24
Parks and Recreation,1,5,The Banquet,2009,"2,568",7.20,-1.40
Parks and Recreation,1,6,Rock Show,2009,"2,604",7.60,-0.78
Parks and Recreation,2,1,Pawnee Zoo,2009,"2,702",7.90,-0.31
Parks and Recreation,2,2,The Stakeout,2009,"2,580",8.10,0.00
Parks and Recreation,2,3,Beauty Pageant,2009,"2,475",7.70,-0.62
Parks and Recreation,2,4,Practice Date,2009,"2,548",8.30,0.31
Parks and Recreation,2,5,Sister City,2009,"2,673",7.70,-0.62
Parks and Recreation,2,6,Kaboom,2009,"2,346",7.60,-0.78
Parks and Recreation,2,7,Greg Pikitis,2009,"2,559",8.20,0.16
Parks and Recreation,2,8,Ron and Tammy,2009,"2,559",8.30,0.31
Parks and Recreation,2,9,The Camel,2009,"2,329",7.80,-0.47
Parks and Recreation,2,10,Hunting Trip,2009,"2,786",8.70,0.93
Parks and Recreation,2,11,Tom's Divorce,2009,"2,270",7.80,-0.47
Parks and Recreation,2,12,Christmas Scandal,2009,"2,290",8.00,-0.16
Parks and Recreation,2,13,The Set Up,2010,"2,299",8.00,-0.16
Parks and Recreation,2,14,Leslie's House,2010,"2,233",7.90,-0.31
Parks and Recreation,2,15,Sweetums,2010,"2,210",7.90,-0.31
Parks and Recreation,2,16,Galentine's Day,2010,"2,203",7.60,-0.78
Parks and Recreation,2,17,Woman of the Year,2010,"2,187",7.90,-0.31
Parks and Recreation,2,18,The Possum,2010,"2,192",8.00,-0.16
Parks and Recreation,2,19,Park Safety,2010,"2,270",8.10,0.00
Parks and Recreation,2,20,Summer Catalog,2010,"2,156",7.80,-0.47
Parks and Recreation,2,21,94 Meetings,2010,"2,340",8.50,0.62
Parks and Recreation,2,22,Telethon,2010,"2,257",8.20,0.16
Parks and Recreation,2,23,The Master Plan,2010,"2,298",8.50,0.62
Parks and Recreation,2,24,Freddy Spaghetti,2010,"2,321",8.60,0.78
Parks and Recreation,3,1,Go Big or Go Home,2011,"2,228",8.10,0.00
Parks and Recreation,3,2,Flu Season,2011,"2,808",8.90,1.24
Parks and Recreation,3,3,Time Capsule,2011,"2,188",8.10,0.00
Parks and Recreation,3,4,Ron & Tammy 2,2011,"2,368",8.50,0.62
Parks and Recreation,3,5,Media Blitz,2011,"2,147",8.00,-0.16
Parks and Recreation,3,6,Indianapolis,2011,"2,136",8.00,-0.16
Parks and Recreation,3,7,Harvest Festival,2011,"2,404",8.70,0.93
Parks and Recreation,3,8,Camping,2011,"2,143",8.00,-0.16
Parks and Recreation,3,9,Andy and April's Fancy Party,2011,"2,724",8.90,1.24
Parks and Recreation,3,10,Soulmates,2011,"2,263",8.50,0.62
Parks and Recreation,3,11,Jerry's Painting,2011,"2,283",8.60,0.78
Parks and Recreation,3,12,Eagleton,2011,"2,158",8.20,0.16
Parks and Recreation,3,13,The Fight,2011,"2,712",8.80,1.09
Parks and Recreation,3,14,Road Trip,2011,"2,241",8.50,0.62
Parks and Recreation,3,15,The Bubble,2011,"2,066",8.10,0.00
Parks and Recreation,3,16,Li'l Sebastian,2011,"2,447",8.80,1.09
Parks and Recreation,4,1,I'm Leslie Knope,2011,"2,108",8.10,0.00
Parks and Recreation,4,2,Ron and Tammys,2011,"2,293",8.60,0.78
Parks and Recreation,4,3,Born and Raised,2011,"2,047",8.10,0.00
Parks and Recreation,4,4,Pawnee Rangers,2011,"2,234",8.20,0.16
Parks and Recreation,4,5,Meet 'N' Greet,2011,"1,993",7.80,-0.47
Parks and Recreation,4,6,End of the World,2011,"2,279",8.50,0.62
Parks and Recreation,4,7,The Treaty,2011,"2,043",8.00,-0.16
Parks and Recreation,4,8,Smallest Park,2011,"2,019",8.00,-0.16
Parks and Recreation,4,9,The Trial of Leslie Knope,2011,"2,087",8.50,0.62
Parks and Recreation,4,10,Citizen Knope,2011,"2,052",8.40,0.47
Parks and Recreation,4,11,The Comeback Kid,2012,"2,272",8.50,0.62
Parks and Recreation,4,12,Campaign Ad,2012,"1,998",8.40,0.47
Parks and Recreation,4,13,Bowling for Votes,2012,"2,100",8.60,0.78
Parks and Recreation,4,14,Operation Ann,2012,"1,963",8.20,0.16
Parks and Recreation,4,15,Dave Returns,2012,"1,904",7.90,-0.31
Parks and Recreation,4,16,Sweet Sixteen,2012,"1,882",7.70,-0.62
Parks and Recreation,4,17,Campaign Shake-Up,2012,"1,863",7.90,-0.31
Parks and Recreation,4,18,Lucky,2012,"1,878",7.90,-0.31
Parks and Recreation,4,19,Live Ammo,2012,"1,859",7.90,-0.31
Parks and Recreation,4,20,The Debate,2012,"2,202",8.80,1.09
Parks and Recreation,4,21,Bus Tour,2012,"1,928",8.20,0.16
Parks and Recreation,4,22,"Win, Lose or Draw",2012,"2,316",9.00,1.40
Parks and Recreation,5,1,Ms. Knope Goes to Washington,2012,"1,921",7.90,-0.31
Parks and Recreation,5,2,Soda Tax,2012,"1,878",7.90,-0.31
Parks and Recreation,5,3,How a Bill Becomes a Law,2012,"1,867",8.00,-0.16
Parks and Recreation,5,4,Sex Education,2012,"1,896",8.10,0.00
Parks and Recreation,5,5,Halloween Surprise,2012,"2,118",8.60,0.78
Parks and Recreation,5,6,Ben's Parents,2012,"1,836",7.80,-0.47
Parks and Recreation,5,7,Leslie vs. April,2012,"1,818",7.80,-0.47
Parks and Recreation,5,8,Pawnee Commons,2012,"1,813",7.80,-0.47
Parks and Recreation,5,9,Ron and Diane,2012,"2,324",8.90,1.24
Parks and Recreation,5,10,Two Parties,2013,"2,273",8.80,1.09
Parks and Recreation,5,11,Women in Garbage,2013,"1,849",8.10,0.00
Parks and Recreation,5,12,Ann's Decision,2013,"1,786",7.70,-0.62
Parks and Recreation,5,13,Emergency Response,2013,"1,903",8.60,0.78
Parks and Recreation,5,14,Leslie and Ben,2013,"2,612",9.20,1.71
Parks and Recreation,5,15,Correspondents' Lunch,2013,"1,719",7.90,-0.31
Parks and Recreation,5,16,Bailout,2013,"1,790",8.10,0.00
Parks and Recreation,5,17,Partridge,2013,"1,706",7.60,-0.78
Parks and Recreation,5,18,Animal Control,2013,"1,779",8.30,0.31
Parks and Recreation,5,19,Article Two,2013,"1,735",8.00,-0.16
Parks and Recreation,5,20,Jerry's Retirement,2013,"1,723",8.10,0.00
Parks and Recreation,5,21,Swing Vote,2013,"1,665",7.60,-0.78
Parks and Recreation,5,22,Are You Better Off?,2013,"1,765",8.30,0.31
Parks and Recreation,6,1,London: Part 1,2013,"2,023",8.50,0.62
Parks and Recreation,6,2,London: Part 2,2013,"1,875",8.60,0.78
Parks and Recreation,6,3,The Pawnee-Eagleton Tip Off Classic,2013,"1,728",7.70,-0.62
Parks and Recreation,6,4,Doppelgängers,2013,"1,807",8.00,-0.16
Parks and Recreation,6,5,Gin It Up!,2013,"1,684",7.80,-0.47
Parks and Recreation,6,6,Filibuster,2013,"1,721",8.10,0.00
Parks and Recreation,6,7,Recall Vote,2013,"1,651",7.60,-0.78
Parks and Recreation,6,8,Fluoride,2013,"1,701",7.70,-0.62
Parks and Recreation,6,9,The Cones of Dunshire,2013,"1,751",8.20,0.16
Parks and Recreation,6,10,Second Chunce,2014,"1,643",7.60,-0.78
Parks and Recreation,6,11,New Beginnings,2014,"1,599",7.60,-0.78
Parks and Recreation,6,12,Farmers Market,2014,"1,639",7.70,-0.62
Parks and Recreation,6,13,Ann and Chris,2014,"2,178",8.80,1.09
Parks and Recreation,6,14,Anniversaries,2014,"1,633",7.90,-0.31
Parks and Recreation,6,15,The Wall,2014,"1,585",7.70,-0.62
Parks and Recreation,6,16,New Slogan,2014,"1,574",7.50,-0.93
Parks and Recreation,6,17,Galentine's Day,2014,"1,566",7.60,-0.78
Parks and Recreation,6,18,Prom,2014,"1,585",7.70,-0.62
Parks and Recreation,6,19,Flu Season 2,2014,"1,752",8.40,0.47
Parks and Recreation,6,20,"One in 8,000",2014,"1,603",8.20,0.16
Parks and Recreation,6,21,Moving Up: Part 1,2014,"2,071",8.80,1.09
Parks and Recreation,6,22,Moving Up: Part 2,2014,"2,719",9.30,1.86
Parks and Recreation,7,1,2017,2015,"1,926",7.60,-0.78
Parks and Recreation,7,2,Ron & Jammy,2015,"1,833",8.20,0.16
Parks and Recreation,7,3,William Henry Harrison,2015,"1,702",7.40,-1.09
Parks and Recreation,7,4,Leslie and Ron,2015,"3,841",9.50,2.17
Parks and Recreation,7,5,Gryzzlbox,2015,"1,687",8.20,0.16
Parks and Recreation,7,6,Save JJ's,2015,"1,656",8.00,-0.16
Parks and Recreation,7,7,Donna and Joe,2015,"1,729",8.40,0.47
Parks and Recreation,7,8,Ms. Ludgate-Dwyer Goes to Washington,2015,"1,682",8.00,-0.16
Parks and Recreation,7,9,Pie-Mary,2015,"1,768",8.30,0.31
Parks and Recreation,7,10,The Johnny Karate Super Awesome Musical Explosion Show,2015,"2,361",8.40,0.47
Parks and Recreation,7,11,Two Funerals,2015,"1,794",8.50,0.62
Parks and Recreation,7,12,One Last Ride,2015,"4,672",9.50,2.17
Parks and Recreation,7,12,One Last Ride,2015,"2,702",9.50,2.17
